L,observable,x,mean_value,fit_window
256,S(q),2.2334760271614935,0.06789752463807072,0
256,S(q),2.2580197197676637,0.08755479423708573,0
256,S(q),2.282563412373834,0.07979747875146641,0
256,S(q),2.3071071049800045,0.06525215370345068,0
256,S(q),2.3316507975861747,0.09553969636379883,0
256,S(q),2.356194490192345,0.03956462625853005,0
256,S(q),2.380738182798515,0.1061104951584122,0
256,S(q),2.405281875404685,0.09987151413396134,0
256,S(q),2.429825568010856,0.06751730224857445,0
256,S(q),2.454369260617026,0.09805540741463346,0
256,S(q),2.478912953223196,0.04406518830358019,0
256,S(q),2.5034566458293663,0.05393016918117155,0
256,S(q),2.5280003384355365,0.06338122476230018,0
256,S(q),2.552544031041707,0.05446121149747393,0
256,S(q),2.5770877236478773,0.09365780858878568,0
256,S(q),2.6016314162540475,0.051186245789251204,0
256,S(q),2.6261751088602177,0.08757512380037778,0
256,S(q),2.650718801466388,0.05732577736212787,0
256,S(q),2.675262494072558,0.0796036965199461,0
256,S(q),2.6998061866787286,0.060491054869401796,0
256,S(q),2.724349879284899,0.06158534802479112,0
256,S(q),2.748893571891069,0.04137442240005994,0
256,S(q),2.773437264497239,0.09074668356424857,0
256,S(q),2.7979809571034093,0.043509910359515576,0
256,S(q),2.82252464970958,0.10479747850795801,0
256,S(q),2.84706834231575,0.027869948361526346,0
256,S(q),2.8716120349219203,0.08833524873312361,0
256,S(q),2.8961557275280905,0.11648743889436979,0
256,S(q),2.9206994201342606,0.05114502616809729,0
256,S(q),2.945243112740431,0.04794359640707519,0
256,S(q),2.9697868053466014,0.022788054628424825,0
256,S(q),2.9943304979527716,0.08228122600130394,0
256,S(q),3.018874190558942,0.03721043990734814,0
256,S(q),3.043417883165112,0.07554985265139318,0
256,S(q),3.067961575771282,0.04515146767415249,0
256,S(q),3.0925052683774528,0.06143762517800951,0
256,S(q),3.117048960983623,0.04035855226369797,0
256,S(q),3.141592653589793,0.06679939336675769,0
