seed,authority,T,v_rep1,v_rep2,v_rep3,v_mean_within_disorder,max_half_rel_diff
20271107,hi,0.0025,0.2076393006487166,0.20542759432939148,0.2055963627407118,0.2062210859062733,0.06881853541524909
20271107,hi,0.005,0.20574852385349127,0.20564619604074072,0.207254172949604,0.206216297614612,0.0740945449630575
20271107,hi,0.01,0.21186188718330515,0.20842300754219042,0.21105607076731112,0.21044698849760224,0.035943611637281936
20271107,hi,0.02,0.2033751968639795,0.21844075012952097,0.22313634068167115,0.21498409589172388,0.059368759062215434
20271107,hi,0.04,0.22905672866887067,0.2273300649297531,0.23287404590155145,0.22975361316672507,0.1360773459709879
20271107,hi,0.08,0.2689269814271612,0.26160863568943515,0.2678453219235277,0.26612697968004134,0.08405619485705004
20271108,lo,0.0025,0.19697663292980394,0.19125697108235082,0.19476365206111967,0.1943324186910915,0.056765246909278304
20271108,lo,0.005,0.2006565733221071,0.19730233425357943,0.1951677718906993,0.19770889315546195,0.08788405374773728
20271108,lo,0.01,0.21024670461675543,0.22243396126187995,0.2100165285263661,0.2142323981350005,0.02780820481010407
20271108,lo,0.02,0.21997587042367195,0.22434330048676657,0.22293332540212651,0.222417498770855,0.025379836040965043
20271108,lo,0.04,0.24460631535866378,0.23992583133776235,0.2408555769507515,0.24179590788239255,0.031213893011232646
20271108,lo,0.08,0.2745747346965459,0.26854114893049424,0.2746671526804365,0.27259434543582556,0.030982886825747947
20271108,mid,0.0025,0.19669246362289672,0.1987062315209654,0.19950706090569847,0.19830191868318683,0.0839338473456324
20271108,mid,0.005,0.2007211589502318,0.20105707472751308,0.19839775476959776,0.20005866281578089,0.06691612637628261
20271108,mid,0.01,0.21232704317164833,0.22226979741974331,0.21153901587467494,0.21537861882202222,0.04756520569766049
20271108,mid,0.02,0.2186338701847103,0.22433482326611096,0.22452034938898793,0.22249634761326972,0.04265158793769934
20271108,mid,0.04,0.24462842243583938,0.23994287073377532,0.24080430059629518,0.24179186458863663,0.025300182585804486
20271108,mid,0.08,0.2736851448307514,0.2685241899022049,0.27471536572352623,0.2723082334854942,0.02883772262850683
20271108,hi,0.0025,0.19632839335056992,0.19878272758238233,0.19979377976428617,0.19830163356574615,0.08444911358424743
20271108,hi,0.005,0.20441059325512323,0.20083081799028074,0.2029598407319481,0.20273375065911736,0.06476895883236247
20271108,hi,0.01,0.21287072983341046,0.22208684226919398,0.21687422253805053,0.21727726488021834,0.02607780926186356
20271108,hi,0.02,0.23014644005995716,0.2243217555100501,0.2244535796250583,0.2263072583983552,0.05017038715420758
20271108,hi,0.04,0.24462089418044328,0.24223164730323743,0.23873740114294298,0.24186331420887455,0.0475192821345404
20271108,hi,0.08,0.2759890262597667,0.2678878685737965,0.27471415826576684,0.2728636843664433,0.023365240229722778
